question,references,corpus_id
How did the villain manage the escape in the story involving Holmes and Miss Hunter?,"[{""content"": ""\u201cThrough the skylight. We shall soon see how he managed it.\u201d He swung\nhimself up onto the roof. \u201cAh, yes,\u201d he cried, \u201chere\u2019s the end of a\nlong light ladder against the eaves. That is how he did it.\u201d"", ""start_index"": 556873, ""end_index"": 557071}]",./corpora/sherlock_holmes.txt
How did Sherlock Holmes deduce the identity and location of the American gentleman involved in the case?,"[{""content"": ""From the first, two facts were very obvious to me, the one that the\nlady had been quite willing to undergo the wedding ceremony, the other\nthat she had repented of it within a few minutes of returning home"", ""start_index"": 455434, ""end_index"": 455639}, {""content"": ""It might have been difficult, but friend Lestrade held information in\nhis hands the value of which he did not himself know. The initials\nwere, of course, of the highest importance, but more valuable still was\nit to know that within a week he had settled his bill at one of the\nmost select London hotels"", ""start_index"": 457116, ""end_index"": 457418}, {""content"": ""By the select prices. Eight shillings for a bed and eightpence for a\nglass of sherry pointed to one of the most expensive hotels"", ""start_index"": 457457, ""end_index"": 457585}, {""content"": ""In the second one which I\nvisited in Northumberland Avenue, I learned by an inspection of the\nbook that Francis H. Moulton, an American gentleman, had left only the\nday before, and on looking over the entries against him, I came upon\nthe very items which I had seen in the duplicate bill. His letters were\nto be forwarded to 226 Gordon Square; so thither I travelled, and being\nfortunate enough to find the loving couple at home, I ventured to give\nthem some paternal advice and to point out to them that it would be\nbetter in every way that they should make their position a little\nclearer both to the general public and to Lord St. Simon in particular"", ""start_index"": 457643, ""end_index"": 458296}]",./corpora/sherlock_holmes.txt
What was the daily routine of the narrator regarding the Red-headed League job before it ended?,"[{""content"": ""Every morning I\nwas there at ten, and every afternoon I left at two"", ""start_index"": 67597, ""end_index"": 67664}]",./corpora/sherlock_holmes.txt
What activities does Lady Catherine inquire about regarding the Bennet sisters?,"[{""content"": ""Do you play and sing, Miss\nBennet?"", ""start_index"": 326170, ""end_index"": 326204}, {""content"": ""Do your sisters play and sing?"", ""start_index"": 326366, ""end_index"": 326396}, {""content"": ""Do\nyou draw?"", ""start_index"": 326557, ""end_index"": 326569}, {""content"": ""Has your governess left you?"", ""start_index"": 326838, ""end_index"": 326866}]",./corpora/pride_and_prejudice.txt
What are the characteristics of Miss de Bourgh as described by Mr. Collins?,"[{""content"": ""She is a most charming young lady, indeed. Lady Catherine herself says\nthat, in point of true beauty, Miss de Bourgh is far superior to the\nhandsomest of her sex; because there is that in her features which marks\nthe young woman of distinguished birth"", ""start_index"": 147941, ""end_index"": 148192}, {""content"": ""She is unfortunately of a sickly\nconstitution, which has prevented her making that progress in many\naccomplishments which she could not otherwise have failed of, as I am\ninformed by the lady who superintended her education, and who still\nresides with them"", ""start_index"": 148194, ""end_index"": 148449}, {""content"": ""But she is perfectly amiable, and often condescends\nto drive by my humble abode in her little phaeton and ponies"", ""start_index"": 148451, ""end_index"": 148563}]",./corpora/pride_and_prejudice.txt
What relationship exists between Lady Catherine de Bourgh and Mr. Darcy?,"[{""content"": ""You know of course that Lady Catherine de Bourgh and Lady Anne Darcy\nwere sisters; consequently that she is aunt to the present Mr. Darcy"", ""start_index"": 178671, ""end_index"": 178808}]",./corpora/pride_and_prejudice.txt
What were Mr. Bingley's activities during the evening mentioned?,"[{""content"": ""Mr. Hurst and Mr. Bingley were at piquet"", ""start_index"": 110848, ""end_index"": 110888}]",./corpora/pride_and_prejudice.txt
What specific instructions does Mrs. Bennet give Mr. Gardiner regarding Lydia’s wedding preparations?,"[{""content"": ""And now do, when you get to town, find them out,\nwherever they may be; and if they are not married already, _make_ them\nmarry"", ""start_index"": 544488, ""end_index"": 544613}, {""content"": ""And as for wedding clothes, do not let them wait for that, but\ntell Lydia she shall have as much money as she chooses to buy them,\nafter they are married"", ""start_index"": 544615, ""end_index"": 544768}]",./corpora/pride_and_prejudice.txt
What measures did the character take with regard to Mr. Wickham's career?,"[{""content"": ""My excellent father\ndied about five years ago; and his attachment to Mr. Wickham was to the\nlast so steady, that in his will he particularly recommended it to me to\npromote his advancement in the best manner that his profession might\nallow, and if he took orders, desired that a valuable family living\nmight be his as soon as it became vacant"", ""start_index"": 389987, ""end_index"": 390329}, {""content"": ""There was also a legacy of\none thousand pounds"", ""start_index"": 390331, ""end_index"": 390377}, {""content"": ""His own father did not long survive mine; and\nwithin half a year from these events Mr. Wickham wrote to inform me\nthat, having finally resolved against taking orders, he hoped I should\nnot think it unreasonable for him to expect some more immediate\npecuniary advantage, in lieu of the preferment, by which he could not be\nbenefited"", ""start_index"": 390379, ""end_index"": 390710}, {""content"": ""He had some intention, he added, of studying the law, and I\nmust be aware that the interest of one thousand pounds would be a very\ninsufficient support therein"", ""start_index"": 390712, ""end_index"": 390871}, {""content"": ""I rather wished than believed him to be\nsincere; but, at any rate, was perfectly ready to accede to his\nproposal"", ""start_index"": 390873, ""end_index"": 390985}]",./corpora/pride_and_prejudice.txt
What events transpired when a chaise and four approached the Bennet family's home?,"[{""content"": ""One morning, about a week after Bingley\u2019s engagement with Jane had been\nformed, as he and the females of the family were sitting together in the\ndining-room, their attention was suddenly drawn to the window by the\nsound of a carriage; and they perceived a chaise and four driving up the\nlawn"", ""start_index"": 660038, ""end_index"": 660329}, {""content"": ""It was too early in the morning for visitors; and besides, the\nequipage did not answer to that of any of their neighbours"", ""start_index"": 660331, ""end_index"": 660452}, {""content"": ""The horses\nwere post; and neither the carriage, nor the livery of the servant who\npreceded it, were familiar to them"", ""start_index"": 660454, ""end_index"": 660570}, {""content"": ""As it was certain, however, that\nsomebody was coming, Bingley instantly prevailed on Miss Bennet to avoid\nthe confinement of such an intrusion, and walk away with him into the\nshrubbery"", ""start_index"": 660572, ""end_index"": 660757}, {""content"": ""They both set off; and the conjectures of the remaining three\ncontinued, though with little satisfaction, till the door was thrown\nopen, and their visitor entered. It was Lady Catherine de Bourgh"", ""start_index"": 660759, ""end_index"": 660954}]",./corpora/pride_and_prejudice.txt
What reasons does Elizabeth give for rejecting Mr. Darcy's marriage proposal?,"[{""content"": ""From the very beginning, from the first moment, I may almost say, of my\nacquaintance with you, your manners impressing me with the fullest\nbelief of your arrogance, your conceit, and your selfish disdain of the\nfeelings of others, were such as to form that groundwork of\ndisapprobation, on which succeeding events have built so immovable a\ndislike; and I had not known you a month before I felt that you were the\nlast man in the world whom I could ever be prevailed on to marry"", ""start_index"": 376549, ""end_index"": 377026}]",./corpora/pride_and_prejudice.txt
